scenario,frame_idx,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,position_code
19,255,64.3128890991211,25.1120548248291,65.74116516113281,23.093137741088867,62.77423095703125,22.90654945373535,0.0,0.0,59.19418716430664,23.181241989135742,70.99076080322266,34.41668701171875,53.39620590209961,34.40288543701172,76.9453125,46.74529266357422,46.78892135620117,48.860103607177734,78.0389633178711,53.60512161254883,48.254417419433594,58.07087326049805,66.30387115478516,64.61640167236328,55.50276565551758,64.58354949951172,65.41941833496094,88.51879119873047,54.83287048339844,88.77254486083984,63.97821807861328,110.91693878173828,53.52046203613281,111.42964935302734,0.0
19,256,65.85147094726562,25.108566284179688,67.1180191040039,23.114482879638672,64.30484771728516,22.909467697143555,0.0,0.0,60.25567626953125,22.96082878112793,71.4855728149414,33.65617752075195,54.08497619628906,33.77265548706055,77.41996765136719,45.36726379394531,46.5855598449707,48.252559661865234,79.04553985595703,52.42463302612305,46.62212371826172,58.6954460144043,66.98668670654297,63.080177307128906,56.357269287109375,63.09919738769531,65.5657730102539,86.73542022705078,55.71155548095703,87.06329345703125,65.28939056396484,108.43395233154297,55.73793411254883,109.07732391357422,0.0
19,257,65.3628158569336,25.773479461669922,66.74310302734375,23.760873794555664,63.79939651489258,23.641307830810547,0.0,0.0,60.223907470703125,23.881122589111328,72.62872314453125,34.35379409790039,54.706642150878906,34.670597076416016,78.87939453125,46.3349494934082,48.00120544433594,48.79997253417969,79.44326782226562,52.879005432128906,49.322296142578125,57.26829147338867,68.38723754882812,63.61872482299805,57.52499008178711,63.70179748535156,66.4064712524414,87.2374267578125,57.13838195800781,87.51969146728516,65.85325622558594,109.15789031982422,58.02922439575195,109.60016632080078,0.0
19,258,68.23115539550781,25.81574249267578,69.194091796875,23.782371520996094,66.54385375976562,23.739892959594727,0.0,0.0,62.02950668334961,24.14708709716797,73.209716796875,34.21878433227539,55.670814514160156,35.64044952392578,79.54296875,43.928314208984375,49.03868865966797,51.08563995361328,79.29759979248047,44.04507827758789,51.222412109375,58.198551177978516,69.31269836425781,64.82501983642578,58.71662902832031,65.40585327148438,66.80813598632812,89.25745391845703,58.50811767578125,90.09114074707031,65.23490905761719,109.89518737792969,58.4488525390625,111.33384704589844,0.0
19,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.87272644042969,24.59261703491211,55.43758773803711,34.88174057006836,74.51606750488281,35.53390121459961,50.1938591003418,47.54468536376953,80.10674285888672,48.679931640625,50.84104537963867,52.695716857910156,81.99409484863281,53.28008270263672,57.677764892578125,64.59605407714844,69.57324981689453,64.91696166992188,57.59604263305664,89.00466918945312,68.92847442626953,89.08836364746094,56.43394088745117,110.56189727783203,66.76094818115234,111.181396484375,0.0
19,260,0.0,0.0,0.0,0.0,0.0,0.0,62.74369812011719,24.589122772216797,0.0,0.0,57.799495697021484,35.19809341430664,77.23995971679688,35.018638610839844,51.62334442138672,48.68474197387695,82.53787994384766,48.48739242553711,50.02971267700195,56.890499114990234,82.48893737792969,56.609336853027344,59.92433547973633,63.84942626953125,72.59554290771484,63.752567291259766,59.19795227050781,87.67339324951172,71.15909576416016,87.61936950683594,59.505462646484375,109.75448608398438,70.0184555053711,109.79357147216797,0.0
19,261,69.24507141113281,27.442916870117188,70.6875991821289,25.486791610717773,67.63312530517578,25.4373836517334,0.0,0.0,63.96211242675781,25.92767906188965,78.22396087646484,35.58624267578125,58.35597610473633,36.19020080566406,86.16033172607422,45.53314971923828,53.299495697021484,48.23490905761719,84.3588638305664,45.05630111694336,59.40962600708008,49.70574951171875,72.65571594238281,65.31065368652344,60.310455322265625,65.3871078491211,71.100830078125,90.48839569091797,61.191707611083984,90.71520233154297,70.08480834960938,112.53121948242188,63.19255065917969,112.8525390625,0.0
19,262,68.19786071777344,27.645999908447266,69.69837188720703,25.573875427246094,67.08675384521484,25.523509979248047,73.15812683105469,26.056446075439453,0.0,0.0,78.73570251464844,36.74776840209961,60.961692810058594,36.75740051269531,85.36717987060547,49.658626556396484,55.21473693847656,49.41025924682617,82.89939880371094,55.71318817138672,55.34653854370117,55.036006927490234,73.73534393310547,66.97393798828125,62.86333084106445,66.78648376464844,72.19436645507812,91.62274932861328,62.95973205566406,91.4751205444336,71.65990447998047,113.4389419555664,63.997169494628906,113.30144500732422,0.0
19,263,68.79338836669922,29.516521453857422,70.13724517822266,27.533750534057617,67.52034759521484,27.463266372680664,72.8139419555664,27.549020767211914,0.0,0.0,77.938232421875,36.74302673339844,60.483455657958984,38.014522552490234,87.7598876953125,47.23849868774414,53.64444351196289,51.813560485839844,89.76859283447266,54.396759033203125,52.22132873535156,62.07183074951172,73.39091491699219,66.36331176757812,62.936012268066406,66.5667495727539,70.60385131835938,90.96918487548828,62.56231689453125,91.23504638671875,72.0076904296875,112.9496078491211,66.11809539794922,113.24122619628906,0.0
19,264,68.70574188232422,27.485273361206055,70.37373352050781,25.32680320739746,67.05962371826172,25.279682159423828,73.63851928710938,26.18815803527832,0.0,0.0,78.77326965332031,38.11018753051758,60.77390670776367,38.10586166381836,86.23595428466797,52.488136291503906,56.31788635253906,52.404624938964844,86.51683807373047,65.40196990966797,55.301979064941406,65.19061279296875,74.63973236083984,69.04793548583984,63.81964111328125,68.967041015625,72.77861022949219,94.15215301513672,63.72716522216797,94.25135803222656,71.67033386230469,115.55656433105469,63.725425720214844,115.75045013427734,0.0
